Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.13206","4.05853","3.20000"
"0.13286","4.09956","3.22000"
"0.13378","4.14963","3.24000"
"0.13466","4.20938","3.26000"
"0.13553","4.27105","3.28000"
"0.13623","4.33010","3.30000"
"0.13687","4.38037","3.32000"
"0.13769","4.42574","3.34000"
"0.13874","4.47915","3.36000"
"0.13985","4.54638","3.38000"
"0.14087","4.62162","3.40000"
"0.14154","4.69182","3.42000"
"0.14208","4.74350","3.44000"
"0.14282","4.78318","3.46000"
"0.14373","4.82972","3.48000"
"0.14461","4.88785","3.50000"
"0.14548","4.94939","3.52000"
"0.14625","5.00974","3.54000"
"0.14690","5.06367","3.56000"
"0.14766","5.11077","3.58000"
"0.14865","5.16227","3.60000"
"0.14975","5.22647","3.62000"
"0.15083","5.30086","3.64000"
"0.15159","5.37475","3.66000"
"0.15211","5.43247","3.68000"
"0.15276","5.47388","3.70000"
"0.15366","5.51695","3.72000"
"0.15457","5.57211","3.74000"
"0.15547","5.63440","3.76000"
"0.15632","5.69822","3.78000"
"0.15699","5.75746","3.80000"
"0.15771","5.80748","3.82000"
"0.15867","5.85821","3.84000"
"0.15973","5.92101","3.86000"
"0.16079","5.99373","3.88000"
"0.16162","6.06788","3.90000"
"0.16216","6.12872","3.92000"
"0.16277","6.17264","3.94000"
"0.16364","6.21465","3.96000"
"0.16458","6.26975","3.98000"
"0.16548","6.33434","4.00000"
"0.16637","6.39972","4.02000"
"0.16707","6.46098","4.04000"
"0.16776","6.51304","4.06000"
"0.16865","6.56294","4.08000"
"0.16969","6.62264","4.10000"
"0.17073","6.69365","4.12000"
"0.17165","6.76811","4.14000"
"0.17226","6.83439","4.16000"
"0.17283","6.88306","4.18000"
"0.17363","6.92448","4.20000"
"0.17458","6.97670","4.22000"
"0.17546","7.04029","4.24000"
"0.17634","7.10579","4.26000"
"0.17707","7.16803","4.28000"
"0.17771","7.22108","4.30000"
"0.17851","7.26878","4.32000"
"0.17954","7.32379","4.34000"
"0.18062","7.39305","4.36000"
"0.18163","7.47022","4.38000"
"0.18235","7.54272","4.40000"
"0.18292","7.59842","4.42000"
"0.18366","7.64235","4.44000"
"0.18458","7.69118","4.46000"
"0.18548","7.75198","4.48000"
"0.18636","7.81710","4.50000"
"0.18713","7.88054","4.52000"
"0.18775","7.93581","4.54000"
"0.18848","7.98263","4.56000"
"0.18946","8.03323","4.58000"
"0.19055","8.09856","4.60000"
"0.19163","8.17522","4.62000"
"0.19243","8.25130","4.64000"
"0.19298","8.31168","4.66000"
"0.19363","8.35538","4.68000"
"0.19453","8.39972","4.70000"
"0.19545","8.45716","4.72000"
"0.19632","8.52182","4.74000"
"0.19714","8.58579","4.76000"
"0.19779","8.64361","4.78000"
"0.19849","8.69218","4.80000"
"0.19941","8.74132","4.82000"
"0.20049","8.80175","4.84000"
"0.20161","8.87549","4.86000"
"0.20252","8.95325","4.88000"
"0.20310","9.01896","4.90000"
"0.20370","9.06498","4.92000"
"0.20453","9.10625","4.94000"
"0.20542","9.15886","4.96000"
"0.20629","9.22000","4.98000"
"0.20715","9.28276","5.00000"
"0.20785","9.34253","5.02000"
"0.20852","9.39375","5.04000"
"0.20938","9.44157","5.06000"
"0.21045","9.49854","5.08000"
"0.21155","9.56888","5.10000"
"0.21252","9.64518","5.12000"
"0.21315","9.71371","5.14000"
"0.21370","9.76256","5.16000"
"0.21446","9.80211","5.18000"
"0.21538","9.85104","5.20000"
"0.21629","9.91219","5.22000"
