Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.16054","0.91465","3.24000"
"0.16143","0.92671","3.26000"
"0.16228","0.93731","3.28000"
"0.16336","0.94749","3.30000"
"0.16459","0.95976","3.32000"
"0.16581","0.97440","3.34000"
"0.16670","0.98898","3.36000"
"0.16748","1.00060","3.38000"
"0.16845","1.01071","3.40000"
"0.16948","1.02156","3.42000"
"0.17055","1.03337","3.44000"
"0.17149","1.04576","3.46000"
"0.17233","1.05762","3.48000"
"0.17337","1.06847","3.50000"
"0.17457","1.08082","3.52000"
"0.17581","1.09553","3.54000"
"0.17675","1.11092","3.56000"
"0.17751","1.12369","3.58000"
"0.17845","1.13366","3.60000"
"0.17948","1.14403","3.62000"
"0.18054","1.15608","3.64000"
"0.18151","1.16919","3.66000"
"0.18234","1.18174","3.68000"
"0.18333","1.19286","3.70000"
"0.18452","1.20473","3.72000"
"0.18579","1.21912","3.74000"
"0.18683","1.23479","3.76000"
"0.18758","1.24836","3.78000"
"0.18846","1.25894","3.80000"
"0.18947","1.26985","3.82000"
"0.19050","1.28204","3.84000"
"0.19149","1.29537","3.86000"
"0.19233","1.30836","3.88000"
"0.19326","1.31976","3.90000"
"0.19444","1.33175","3.92000"
"0.19572","1.34614","3.94000"
"0.19684","1.36254","3.96000"
"0.19762","1.37771","3.98000"
"0.19846","1.38931","4.00000"
"0.19946","1.39987","4.02000"
"0.20049","1.41212","4.04000"
"0.20151","1.42568","4.06000"
"0.20237","1.43904","4.08000"
"0.20323","1.45100","4.10000"
"0.20436","1.46258","4.12000"
"0.20562","1.47675","4.14000"
"0.20681","1.49361","4.16000"
"0.20765","1.51024","4.18000"
"0.20844","1.52293","4.20000"
"0.20943","1.53355","4.22000"
"0.21048","1.54546","4.24000"
"0.21154","1.55897","4.26000"
"0.21245","1.57308","4.28000"
"0.21329","1.58585","4.30000"
"0.21437","1.59784","4.32000"
"0.21562","1.61197","4.34000"
"0.21685","1.62915","4.36000"
"0.21775","1.64608","4.38000"
"0.21850","1.65929","4.40000"
"0.21945","1.67017","4.42000"
"0.22049","1.68195","4.44000"
"0.22154","1.69574","4.46000"
"0.22248","1.71020","4.48000"
"0.22329","1.72328","4.50000"
"0.22430","1.73503","4.52000"
"0.22552","1.74827","4.54000"
"0.22679","1.76452","4.56000"
"0.22780","1.78204","4.58000"
"0.22856","1.79711","4.60000"
"0.22947","1.80891","4.62000"
"0.23049","1.82077","4.64000"
"0.23154","1.83448","4.66000"
"0.23253","1.84910","4.68000"
"0.23336","1.86273","4.70000"
"0.23430","1.87462","4.72000"
"0.23548","1.88787","4.74000"
"0.23674","1.90423","4.76000"
"0.23783","1.92208","4.78000"
"0.23860","1.93809","4.80000"
"0.23946","1.95045","4.82000"
"0.24048","1.96246","4.84000"
"0.24152","1.97596","4.86000"
"0.24253","1.99071","4.88000"
"0.24335","2.00541","4.90000"
"0.24422","2.01805","4.92000"
"0.24535","2.03071","4.94000"
"0.24663","2.04637","4.96000"
"0.24783","2.06476","4.98000"
"0.24866","2.08210","5.00000"
"0.24948","2.09558","5.02000"
"0.25047","2.10790","5.04000"
"0.25151","2.12154","5.06000"
"0.25254","2.13699","5.08000"
"0.25341","2.15271","5.10000"
"0.25426","2.16630","5.12000"
"0.25537","2.17902","5.14000"
"0.25664","2.19468","5.16000"
"0.25786","2.21338","5.18000"
"0.25873","2.23197","5.20000"
"0.25950","2.24628","5.22000"
"0.26046","2.25840","5.24000"
"0.26148","2.27181","5.26000"
"0.26253","2.28690","5.28000"
"0.26344","2.30285","5.30000"
"0.26427","2.31738","5.32000"
"0.26531","2.33060","5.34000"
"0.26655","2.34571","5.36000"
"0.26781","2.36378","5.38000"
"0.26875","2.38263","5.40000"
"0.26950","2.39823","5.42000"
"0.27042","2.41085","5.44000"
"0.27146","2.42383","5.46000"
"0.27252","2.43899","5.48000"
"0.27351","2.45546","5.50000"
"0.27433","2.47095","5.52000"
"0.27531","2.48414","5.54000"
"0.27651","2.49850","5.56000"
"0.27777","2.51614","5.58000"
"0.27879","2.53574","5.60000"
"0.27954","2.55250","5.62000"
"0.28043","2.56532","5.64000"
"0.28146","2.57804","5.66000"
"0.28252","2.59280","5.68000"
"0.28353","2.60861","5.70000"
"0.28436","2.62437","5.72000"
"0.28531","2.63838","5.74000"
"0.28650","2.65315","5.76000"
"0.28777","2.67104","5.78000"
"0.28884","2.69056","5.80000"
"0.28958","2.70754","5.82000"
"0.29043","2.72031","5.84000"
"0.29147","2.73256","5.86000"
"0.29251","2.74722","5.88000"
"0.29354","2.76340","5.90000"
"0.29440","2.77943","5.92000"
"0.29529","2.79355","5.94000"
"0.29642","2.80769","5.96000"
"0.29765","2.82440","5.98000"
"0.29880","2.84353","6.00000"
"0.29960","2.86163","6.02000"
"0.30041","2.87525","6.04000"
"0.30143","2.88758","6.06000"
"0.30248","2.90175","6.08000"
"0.30352","2.91775","6.10000"
"0.30440","2.93403","6.12000"
"0.30524","2.94858","6.14000"
"0.30632","2.96257","6.16000"
"0.30757","2.97860","6.18000"
"0.30880","2.99760","6.20000"
"0.30968","3.01711","6.22000"
"0.31047","3.03225","6.24000"
"0.31146","3.04514","6.26000"
"0.31251","3.05929","6.28000"
"0.31357","3.07539","6.30000"
"0.31447","3.09211","6.32000"
"0.31528","3.10665","6.34000"
"0.31632","3.11993","6.36000"
"0.31756","3.13549","6.38000"
"0.31883","3.15511","6.40000"
"0.31977","3.17545","6.42000"
"0.32053","3.19193","6.44000"
"0.32148","3.20476","6.46000"
"0.32250","3.21843","6.48000"
"0.32354","3.23432","6.50000"
"0.32448","3.25161","6.52000"
"0.32529","3.26734","6.54000"
"0.32630","3.28138","6.56000"
"0.32753","3.29768","6.58000"
"0.32881","3.31769","6.60000"
"0.32981","3.33878","6.62000"
"0.33056","3.35656","6.64000"
"0.33145","3.37025","6.66000"
"0.33245","3.38413","6.68000"
"0.33349","3.40007","6.70000"
"0.33449","3.41706","6.72000"
"0.33531","3.43361","6.74000"
"0.33626","3.44872","6.76000"
"0.33747","3.46483","6.78000"
"0.33877","3.48442","6.80000"
"0.33985","3.50641","6.82000"
"0.34061","3.52545","6.84000"
"0.34146","3.54003","6.86000"
"0.34245","3.55384","6.88000"
"0.34349","3.56990","6.90000"
"0.34453","3.58793","6.92000"
"0.34539","3.60581","6.94000"
"0.34630","3.62131","6.96000"
"0.34746","3.63698","6.98000"
"0.34871","3.65581","7.00000"
"0.34982","3.67769","7.02000"
"0.35058","3.69768","7.04000"
"0.35140","3.71257","7.06000"
"0.35243","3.72627","7.08000"
"0.35348","3.74249","7.10000"
"0.35455","3.76064","7.12000"
"0.35543","3.77925","7.14000"
"0.35633","3.79595","7.16000"
"0.35746","3.81176","7.18000"
"0.35868","3.83046","7.20000"
"0.35982","3.85216","7.22000"
"0.36062","3.87259","7.24000"
"0.36139","3.88803","7.26000"
"0.36239","3.90175","7.28000"
"0.36345","3.91765","7.30000"
"0.36454","3.93602","7.32000"
"0.36546","3.95525","7.34000"
"0.36631","3.97285","7.36000"
"0.36738","3.98913","7.38000"
"0.36861","4.00769","7.40000"
"0.36982","4.02917","7.42000"
"0.37070","4.05100","7.44000"
"0.37146","4.06841","7.46000"
"0.37242","4.08250","7.48000"
"0.37348","4.09874","7.50000"
"0.37457","4.11759","7.52000"
"0.37550","4.13713","7.54000"
"0.37631","4.15462","7.56000"
"0.37732","4.17035","7.58000"
"0.37854","4.18804","7.60000"
"0.37980","4.20981","7.62000"
"0.38077","4.23294","7.64000"
"0.38152","4.25189","7.66000"
"0.38244","4.26631","7.68000"
"0.38347","4.28131","7.70000"
"0.38453","4.29924","7.72000"
"0.38551","4.31926","7.74000"
"0.38632","4.33755","7.76000"
"0.38726","4.35324","7.78000"
"0.38845","4.36984","7.80000"
"0.38974","4.39080","7.82000"
"0.39084","4.41485","7.84000"
"0.39163","4.43593","7.86000"
"0.39250","4.45148","7.88000"
"0.39350","4.46654","7.90000"
"0.39451","4.48368","7.92000"
"0.39551","4.50245","7.94000"
"0.39633","4.52053","7.96000"
"0.39722","4.53609","7.98000"
"0.39840","4.55232","8.00000"
"0.39969","4.57253","8.02000"
"0.40085","4.59596","8.04000"
"0.40162","4.61796","8.06000"
"0.40242","4.63408","8.08000"
"0.40341","4.64864","8.10000"
"0.40445","4.66514","8.12000"
"0.40551","4.68372","8.14000"
"0.40639","4.70282","8.16000"
"0.40727","4.72006","8.18000"
"0.40840","4.73660","8.20000"
"0.40968","4.75638","8.22000"
"0.41090","4.78024","8.24000"
"0.41172","4.80324","8.26000"
"0.41247","4.82080","8.28000"
"0.41344","4.83471","8.30000"
"0.41445","4.85038","8.32000"
"0.41550","4.86881","8.34000"
"0.41642","4.88821","8.36000"
"0.41726","4.90545","8.38000"
"0.41832","4.92140","8.40000"
"0.41958","4.94040","8.42000"
"0.42084","4.96358","8.44000"
"0.42174","4.98760","8.46000"
"0.42247","5.00654","8.48000"
"0.42339","5.02094","8.50000"
"0.42444","5.03662","8.52000"
"0.42552","5.05514","8.54000"
"0.42650","5.07524","8.56000"
"0.42732","5.09341","8.58000"
"0.42831","5.10919","8.60000"
"0.42952","5.12766","8.62000"
"0.43079","5.15025","8.64000"
"0.43181","5.17440","8.66000"
"0.43255","5.19437","8.68000"
"0.43342","5.20931","8.70000"
"0.43445","5.22434","8.72000"
"0.43552","5.24230","8.74000"
"0.43654","5.26231","8.76000"
"0.43738","5.28154","8.78000"
"0.43831","5.29802","8.80000"
"0.43948","5.31525","8.82000"
"0.44075","5.33648","8.84000"
"0.44184","5.36004","8.86000"
"0.44260","5.38118","8.88000"
"0.44342","5.39677","8.90000"
"0.44445","5.41136","8.92000"
"0.44553","5.42872","8.94000"
"0.44659","5.44876","8.96000"
"0.44743","5.46867","8.98000"
"0.44829","5.48529","9.00000"
"0.44940","5.50120","9.02000"
"0.45065","5.52079","9.04000"
"0.45184","5.54433","9.06000"
"0.45267","5.56708","9.08000"
"0.45345","5.58423","9.10000"
"0.45444","5.59862","9.12000"
"0.45549","5.61518","9.14000"
"0.45655","5.63471","9.16000"
"0.45744","5.65522","9.18000"
"0.45827","5.67291","9.20000"
"0.45933","5.68879","9.22000"
"0.46057","5.70753","9.24000"
"0.46183","5.73038","9.26000"
"0.46274","5.75441","9.28000"
"0.46350","5.77382","9.30000"
"0.46444","5.78896","9.32000"
"0.46544","5.80490","9.34000"
"0.46648","5.82289","9.36000"
"0.46741","5.84223","9.38000"
"0.46825","5.86025","9.40000"
"0.46929","5.87641","9.42000"
"0.47052","5.89516","9.44000"
"0.47181","5.91814","9.46000"
"0.47280","5.94281","9.48000"
"0.47353","5.96307","9.50000"
"0.47442","5.97809","9.52000"
"0.47545","5.99356","9.54000"
"0.47651","6.01164","9.56000"
"0.47751","6.03160","9.58000"
"0.47835","6.05079","9.60000"
"0.47933","6.06799","9.62000"
"0.48052","6.08619","9.64000"
"0.48178","6.10771","9.66000"
"0.48282","6.13130","9.68000"
"0.48356","6.15167","9.70000"
"0.48442","6.16723","9.72000"
"0.48544","6.18268","9.74000"
"0.48649","6.20051","9.76000"
